name,label,base,overlay,position,sizeMode,x,y,unit,subSize,rotate,opacity
strawberry-milk,Strawberry Milk,bottle,strawberry,s-44,small,-0.03,0.11,%,0.37,0deg,1
poison-bottle,Poison Bottle,bottle,biohazard,s-44,medium,-0.03,0.05,%,0.41,0deg,1
skull-coffee,Skull Coffee,coffee,skull,s-44,small,0.06,-0.08,%,0.38,0deg,1
fire-laptop,Fire Laptop,laptop,fire,s-53,small,0.2,-0.22,%,0.38,-10deg,1
cable-box,Cable Box,box,plug,s-67,small,0.28,0.05,%,0.35,-12deg,1
pasta-box,Pasta Box,box,spaghetti,s-67,small,0.27,0.05,%,0.37,-8deg,1
doom-folder,Doom Folder,folder,skull,s-53,medium,0.22,-0.12,%,0.42,0deg,1
cat-angel,Cat Angel,angel,cat,s-44,large,0.01,0.09,%,0.92,0deg,1
brain-battery,Brain Battery,battery,brain,s-44,medium,0,0.02,%,0.48,0deg,1
spicy-ramen,Spicy Ramen,ramen,pepper,s-53,medium,-0.22,0.22,%,0.44,-16deg,1
toxic-jar,Toxic Jar,jar,biohazard,s-44,medium,0,0.04,%,0.46,0deg,1
cherry-soda,Cherry Soda,soda,cherries,s-44,medium,0.03,0.04,%,0.42,0deg,1
archive-disk,Archive Disk,floppy-disk,card-box,s-44,medium,0.03,0.07,%,0.44,0deg,1
cursed-camera,Cursed Camera,camera,eye,s-44,medium,0,0,%,0.5,0deg,1
bomb-burger,Bomb Burger,burger,bomb,s-56,medium,0.44,0.22,%,0.44,-12deg,1
sparkle-phone,Sparkle Phone,phone,sparkles,s-55,small,-0.2,-0.2,%,0.36,0deg,1
warning-folder,Warning Folder,folder,warning,s-53,small,0.24,-0.15,%,0.34,0deg,1
ghost-tv,Ghost TV,tv,ghost,s-44,medium,0.02,0.03,%,0.42,0deg,1
rat-bucket,Rat Bucket,bucket,rat,s-44,medium,0,0.08,%,0.5,0deg,1
frog-crown,Frog Crown,frog,crown,s-56,medium,0.44,0.22,%,0.42,0deg,1
brain-juice,Brain Juice,juice-box,brain,s-44,medium,0,0.04,%,0.46,0deg,1
soda-ice,Soda Ice,soda,ice,s-53,medium,-0.22,0.22,%,0.42,0deg,1
lemon-tea,Lemon Tea,tea,lemon,s-44,medium,0,0.01,%,0.46,0deg,1
fire-cart,Fire Cart,cart,fire,s-56,medium,0.44,0.22,%,0.48,0deg,1
bone-bucket,Bone Bucket,bucket,bone,s-44,medium,0,0,%,0.54,0deg,1
snake-toolbox,Snake Toolbox,toolbox,snake,s-44,medium,0,0,%,0.54,-6deg,1
robot-satellite,Robot Satellite,satellite,robot,s-44,medium,0,0,%,0.48,0deg,1
alien-laptop,Alien Laptop,laptop,alien,s-44,medium,0,0,%,0.48,0deg,1
magnet-box,Magnet Box,box,magnet,s-67,small,0.28,0.05,%,0.34,-18deg,1
locked-folder,Locked Folder,folder,lock,s-53,small,0.22,-0.12,%,0.38,0deg,1
unlock-phone,Unlock Phone,phone,unlock,s-44,medium,0,0,%,0.48,0deg,1
camera-bomb,Camera Bomb,camera,bomb,s-53,medium,-0.22,0.22,%,0.44,0deg,1
heart-mail,Heart Mail,mailbox,heart,s-44,medium,0,0,%,0.5,0deg,1
warning-printer,Warning Printer,printer,warning,s-44,medium,0,-0.02,%,0.46,0deg,1
sparkle-dna,Sparkle DNA,dna,sparkles,s-55,small,-0.2,-0.2,%,0.38,0deg,1
low-power-tv,Low Power TV,tv,battery-low,s-44,small,0.02,0.04,%,0.38,0deg,1
soap-bucket,Soap Bucket,bucket,soap,s-44,medium,0,0,%,0.5,0deg,1
wood-basket,Wood Basket,basket,wood,s-44,medium,0,0,%,0.48,0deg,1
moon-coffee,Moon Coffee,coffee,moon,s-53,medium,-0.22,0.22,%,0.42,0deg,1
sun-burger,Sun Burger,burger,sun,s-56,medium,0.44,0.22,%,0.44,0deg,1
brain-jar,Brain Jar,jar,brain,s-44,medium,0,0.04,%,0.46,0deg,1
